vehicle_type,edge_from,edge_to,observed_count,variance,n_member_gates,member_gate_indices,member_gates,n_time_periods
bus,5548010396,10855460017,2.0,3.0,3,324|325|326,cam_o7:gate_2|cam_o7:gate_3|cam_o7:gate_4,2
bus,5841831224,3355824096,2.0,3.5,3,47|48|50,cam_c5:gate_2|cam_c5:gate_3|cam_c5:gate_5,2
bus,594810456,1514820631,0.5,1.0,1,234,cam_j2:gate_3,2
bus,594810580,594810750,0.0,2.0,2,274|275,cam_m10:gate_1|cam_m10:gate_2,2
bus,594810758,594810582,0.5,3.0,3,272|276|279,cam_m11:gate_1|cam_m11:gate_4|cam_m9:gate_1,2
bus,594811144,1112039283,2.5,3.5,3,218|219|259,cam_h2:gate_1|cam_h2:gate_2|cam_m3:gate_2,2
bus,594811144,1515748078,0.5,1.0,1,220,cam_h2:gate_3,2
bus,594811262,1942291960,0.0,1.0,1,353,cam_r2:gate_1,2
bus,5995805677,8206064923,1.0,2.0,2,284|286,cam_m13:gate_1|cam_m13:gate_3,2
bus,5995805881,5995805677,0.5,1.0,1,285,cam_m13:gate_2,2
bus,6026198745,5299061043,0.0,9.0,9,313|314|315|316|317|319|320|321|322,cam_o6:gate_1|cam_o6:gate_10|cam_o6:gate_2|cam_o6:gate_3|cam_o6:gate_4|cam_o6:gate_5|cam_o6:gate_7|cam_o6:gate_8|cam_o6:gate_9,2
bus,6026198761,6026198745,0.0,1.0,1,318,cam_o6:gate_6,2
bus,6240071024,1887964363,2.5,3.0,3,40|41|42,cam_c3:gate_1|cam_c3:gate_2|cam_c3:gate_3,2
bus,6533196277,2879195259,0.0,1.0,1,192,cam_g1:gate_1,2
bus,6533234861,594810758,1.0,2.0,2,273|277,cam_m11:gate_2|cam_m9:gate_2,2
bus,6562195264,1888012638,3.0,4.0,3,43|44|45,cam_c4:gate_1|cam_c4:gate_2|cam_c4:gate_3,2
